"MSBG01","MSBG03","MSBG04","MSBG05","MSBG06A","MSBG06B","MSBG06C","MSBG06D","MSBG06E","MSBG06F","MSBG06G","MSBG06H","MSBG07A","MSBG07B","MSBG09","MSBG10A","MSBG10B","MSBG10C","MSBG10D","MSBG10E","MSBG10F","MSBG10G","MSBG10H","MSBG10I","MSBG10J","MSBG10K","MSBG10L","MSBG10M","MSBG12A","MSBG12B","MSBG13A","MSBM16A","MSBM17A","MSBM18A","MSBM18B","MSBM18C","MSBM18D","MSBM18E","MSBM18F","MSBM18G","MSBM18H","MSBM18I","MSBM18J","MSBM18K","MSBM18L","MSBM18M","MSBM18N","MSBM18O","MSBM19A","MSBM19B","MSBM19C","MSBM19D","MSBM19E","MSBM19F","MSBM19G","MSBM20A","MSBM20B","MSBM20C","MSBM20D","MSBM20E","MSBM20F","MSBM20G","MSBM20H","MSBM20I","MSBM20J","MSBM20K","MSBM20L","MSBM21A","MSBM21B","MSBM21C","MSBM21D","MSBM21E","MSBM21F","MSBM21G","MSBM21H","MSBM21I","MSBM22A","MSBM22B","MSBM22C","MSBM22D","MSBM22E","MSBM22F","MSBM22G","MSBM22H","MSBM22I","MSBM23A","MSBM23B","MSBM23C","MSBM23D","MSBM23E","MSBM23F","MSBM23G","MSBM23H","Target"
2,1,3,5,1,2,1,2,1,1,1,2,6,5,4,1,1,1,2,1,1,2,1,2,1,1,2,2,1,1,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,2,1,2,1,1,2,1,2,2,1,2,2,1,2,1,2,1,3,3,3,2,2,1,1,3,2,2,2,2,3,2,1,1,2,1,1,2,2,1,2,4,3,4,4,4,4,4,4,"NO"
1,1,2,5,1,2,1,1,1,1,1,2,6,3,4,2,2,2,2,2,2,1,2,2,2,1,2,2,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,1,3,3,3,3,2,2,2,2,3,3,2,2,3,1,1,3,1,2,2,2,2,2,2,2,1,2,3,3,4,2,4,3,4,4,4,4,"NO"
1,1,3,4,1,1,1,1,1,2,2,2,7,7,6,1,2,1,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,3,3,2,4,2,1,1,2,4,1,2,1,3,1,1,3,1,1,1,3,2,3,3,2,4,2,3,4,4,4,3,4,4,4,4,4,"NO"
1,1,5,5,2,1,1,1,1,1,1,2,6,3,5,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,3,2,1,4,4,3,2,2,2,3,2,2,2,1,2,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,4,4,4,4,4,3,4,4,"NO"
1,1,2,4,1,1,1,1,2,1,2,2,3,2,5,1,2,2,2,2,2,2,1,1,1,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,3,2,1,4,1,1,1,1,4,2,1,1,4,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,3,4,4,"NO"
1,1,3,5,1,1,1,1,2,1,2,2,3,3,5,1,2,2,2,2,2,2,2,1,1,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,3,2,2,3,2,1,1,1,3,2,1,1,3,2,2,3,2,2,2,1,2,2,2,2,1,1,2,2,3,4,4,4,4,4,4,4,"NO"
2,1,3,4,1,1,1,1,1,2,1,2,5,3,4,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,3,2,1,1,2,2,1,1,1,1,2,1,1,1,1,2,1,1,2,2,2,4,3,2,3,3,3,2,1,3,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,4,4,4,3,4,4,4,4,"NO"
2,1,5,5,2,2,1,2,1,1,2,2,6,8,6,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,2,3,3,2,4,2,2,3,3,2,2,2,2,3,2,3,3,2,3,3,2,1,1,1,1,2,1,1,2,4,4,4,4,4,4,4,4,"NO"
1,1,5,4,1,2,1,1,1,1,1,2,7,7,6,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,1,1,1,1,2,2,1,2,1,2,2,3,2,1,3,1,1,2,1,2,1,1,3,2,1,4,3,2,2,2,4,4,1,4,3,2,1,2,2,2,1,2,3,1,1,1,1,1,1,1,1,1,2,4,3,4,4,4,4,4,"NO"
2,1,4,4,1,2,1,1,1,1,1,2,6,3,5,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,3,2,4,2,1,2,3,4,2,1,2,2,1,1,3,1,2,2,2,1,1,1,1,2,1,1,1,4,4,4,4,4,4,4,4,"NO"
2,1,5,4,1,2,1,1,1,1,1,2,6,3,5,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,1,1,3,2,2,1,1,1,1,1,2,1,2,1,1,2,2,2,2,2,2,2,2,4,2,3,2,2,2,1,2,2,1,1,4,2,2,3,1,1,1,2,2,3,2,2,2,2,2,2,2,2,3,4,4,4,4,4,"NO"
1,1,3,4,1,2,1,1,1,2,1,2,5,5,5,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,2,1,2,1,1,2,1,3,2,1,4,3,1,1,2,4,2,2,1,3,2,1,4,1,1,1,2,2,1,1,1,1,1,2,1,4,3,4,4,4,4,4,4,"NO"
1,3,4,5,1,1,1,1,2,1,2,2,3,3,6,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,4,3,4,4,2,1,1,1,4,1,1,1,4,2,1,4,1,1,1,3,2,2,2,1,1,1,1,2,4,4,4,4,4,4,4,4,"NO"
2,1,5,4,1,2,1,1,1,1,2,2,7,7,5,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,2,2,2,1,1,2,3,3,1,1,1,1,1,2,3,1,2,1,1,2,2,2,1,1,2,1,2,4,4,3,4,1,3,4,1,3,2,1,2,1,1,4,1,2,3,2,1,1,1,1,1,1,1,2,1,4,4,4,4,4,3,4,"NO"
1,2,4,5,1,2,1,1,1,2,1,2,7,3,6,2,2,2,1,2,2,2,2,2,2,2,1,2,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,4,2,1,1,2,4,2,1,1,3,2,1,4,2,2,1,2,1,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,"NO"
1,1,3,5,1,2,1,1,1,1,1,2,7,8,5,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,3,3,1,1,1,1,2,1,2,1,1,1,1,3,3,1,3,1,1,1,1,4,1,1,1,4,1,1,4,1,1,1,1,1,1,1,2,1,1,1,1,4,3,3,3,4,4,4,4,"NO"
1,1,3,5,1,1,1,1,1,1,1,2,6,6,5,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,1,2,1,3,3,3,4,2,1,1,1,4,2,1,1,2,1,1,4,1,2,1,2,1,2,3,3,1,1,1,1,3,4,3,3,4,4,4,4,"NO"
1,2,3,4,1,2,1,1,1,1,1,2,7,3,4,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,1,2,1,2,1,2,2,1,1,1,1,1,2,1,1,1,2,1,3,2,1,3,1,1,1,2,4,2,1,1,4,1,1,4,1,2,1,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,"NO"
2,1,5,4,1,2,2,1,1,2,1,2,6,6,4,2,2,1,2,2,2,2,2,2,2,1,2,2,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,2,1,2,1,2,1,1,2,1,3,2,1,4,2,1,1,2,3,1,1,1,4,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,"NO"
1,3,1,4,1,1,1,1,1,1,2,2,3,2,5,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,3,3,4,2,3,2,3,3,2,3,1,1,3,2,3,3,2,2,1,2,2,2,2,2,2,2,2,2,3,3,4,4,4,3,4,4,"NO"
1,2,4,5,1,2,1,1,2,1,2,2,3,6,4,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,3,2,2,4,2,1,2,2,4,2,1,1,3,1,1,4,2,1,2,2,2,2,1,1,1,1,2,2,4,3,4,4,4,4,4,4,"NO"
1,3,4,3,1,2,1,1,1,1,1,2,1,6,5,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,1,2,1,1,1,2,2,3,2,3,2,1,2,3,3,1,1,1,1,1,2,1,1,4,4,4,4,4,4,4,4,"NO"
1,2,3,4,1,2,1,1,1,1,1,2,1,2,5,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,3,2,1,4,1,1,1,1,4,2,1,1,3,2,2,4,1,1,2,3,3,2,2,1,2,2,2,2,4,3,4,4,4,4,4,4,"NO"
2,1,5,3,1,2,1,1,1,1,1,1,6,7,5,1,2,2,1,1,1,2,1,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,3,2,1,4,1,1,1,1,4,2,1,1,3,1,1,4,1,2,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,"NO"
2,1,3,4,1,2,1,1,1,1,1,1,3,6,4,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,2,2,1,1,1,3,2,3,2,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,3,2,1,4,3,3,3,3,4,4,2,4,2,2,3,1,1,3,1,3,2,2,1,1,1,1,2,2,1,1,4,4,4,4,4,4,4,4,"NO"
2,1,1,5,1,1,1,1,1,1,1,1,5,6,4,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,2,2,2,1,1,3,3,3,1,1,1,2,1,2,1,2,2,2,1,1,1,2,1,1,2,3,1,4,4,2,3,4,4,4,1,3,2,1,2,2,3,1,2,3,2,4,2,4,2,2,3,3,2,2,4,4,4,4,4,4,4,4,"NO"
2,2,3,4,1,2,1,1,1,1,1,1,3,3,6,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,1,1,1,2,1,2,1,2,2,1,2,2,1,1,1,1,2,1,2,1,1,1,1,3,4,3,4,3,1,1,2,4,2,1,1,4,1,1,3,1,1,1,2,1,2,1,2,2,3,2,3,3,4,4,4,4,4,4,4,"NO"
1,1,5,5,2,1,1,1,2,1,1,1,7,7,5,2,2,2,2,1,2,2,2,2,2,1,2,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,3,3,3,2,2,2,2,3,2,1,1,2,1,1,2,1,1,1,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4,"NO"
2,2,5,4,1,2,1,1,2,2,1,2,7,6,5,2,2,2,2,2,2,1,1,2,2,1,2,2,2,1,1,1,2,2,2,2,4,4,2,2,1,1,1,1,2,3,2,3,1,1,1,1,1,1,1,3,3,1,4,4,1,4,3,4,4,1,4,2,2,1,2,2,3,2,4,2,2,1,2,1,2,2,1,2,3,4,3,3,4,4,4,4,4,"NO"
1,1,4,4,1,2,1,1,1,1,1,1,5,6,4,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,3,2,3,2,2,3,2,2,2,3,1,2,2,2,3,1,1,1,1,2,1,1,2,2,1,4,3,2,3,3,4,3,1,3,2,2,3,1,1,3,1,2,2,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,"NO"
2,1,3,2,1,2,1,1,1,1,1,1,6,3,5,2,2,1,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,1,1,2,3,3,2,2,1,2,2,1,3,2,1,2,1,1,1,1,2,2,1,2,1,2,3,4,3,2,1,1,2,3,3,2,1,2,2,2,2,2,3,1,2,2,2,1,1,2,3,1,1,4,4,4,4,4,4,4,4,"NO"
1,1,5,5,1,2,1,1,1,1,1,2,6,7,5,2,2,1,2,1,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,3,4,3,4,2,3,2,4,4,1,1,4,1,1,4,1,1,1,1,1,1,1,2,2,2,3,3,4,3,4,4,4,4,4,4,"NO"
1,1,5,5,1,2,1,1,1,1,1,1,7,7,5,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,1,1,2,1,1,2,3,2,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,3,1,4,3,3,4,4,3,4,1,4,3,2,3,1,1,4,1,4,3,3,2,2,2,2,3,3,1,2,3,2,4,4,4,4,4,4,"NO"
1,2,2,3,1,2,1,1,2,2,1,2,6,7,5,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,1,1,3,2,1,2,1,1,1,1,2,2,1,1,1,1,1,2,2,1,2,3,2,2,3,3,2,3,2,3,2,4,2,1,1,2,2,1,3,2,3,2,1,1,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,"NO"
2,1,4,4,2,2,1,1,1,1,1,2,7,7,5,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,1,2,3,2,1,1,1,2,1,2,2,1,1,2,2,2,2,2,2,2,1,2,3,4,4,3,3,3,4,2,2,4,1,1,4,2,1,4,1,3,2,1,1,2,1,1,1,1,2,2,4,3,4,4,4,4,4,4,"NO"
1,1,5,5,1,1,1,1,1,1,1,1,6,5,4,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,3,2,2,4,1,1,1,1,4,3,1,1,4,1,1,4,2,1,1,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,4,"NO"
1,1,3,4,1,2,1,2,1,2,1,1,6,5,4,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,1,1,2,1,2,1,2,1,1,2,1,1,1,2,2,2,2,1,1,1,1,3,3,2,4,2,1,1,1,4,2,1,1,4,3,1,4,1,2,1,1,1,1,2,1,1,1,2,2,4,3,3,4,4,4,4,4,"NO"
2,1,5,5,1,1,1,1,1,1,1,1,6,7,5,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,1,1,1,2,3,2,3,2,1,2,2,3,2,1,1,3,1,1,4,1,2,1,2,2,2,3,1,2,2,1,4,2,4,2,4,4,4,2,4,"NO"
2,3,4,5,1,2,1,1,1,1,1,1,7,7,5,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,1,1,2,2,2,2,1,2,1,1,1,1,1,2,2,1,2,1,1,1,2,1,2,1,1,4,1,1,2,2,4,1,1,1,4,1,1,4,1,3,1,2,2,2,1,2,3,2,2,4,4,4,4,4,4,4,4,4,"NO"
2,2,5,3,1,2,1,1,2,1,1,2,7,7,5,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,2,2,3,2,1,1,1,2,2,3,1,3,2,2,1,2,1,1,1,2,2,2,3,2,2,2,1,1,3,4,4,2,2,4,1,2,3,1,1,1,2,1,2,2,3,2,2,1,4,1,1,3,4,4,2,4,4,"NO"
1,1,5,5,1,2,1,1,1,1,1,2,6,7,6,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,1,1,1,2,1,2,1,1,1,1,2,2,2,1,1,2,2,2,2,2,1,1,1,1,2,3,2,4,2,1,1,3,4,4,2,1,3,1,2,3,1,1,1,1,1,1,1,2,1,1,2,2,3,2,4,4,4,4,4,4,"NO"
1,1,5,5,1,1,1,1,1,1,1,1,6,3,5,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,2,2,2,1,2,3,4,2,4,4,3,3,1,3,2,2,3,2,1,2,1,2,1,1,3,1,2,4,4,1,3,4,4,4,2,4,2,1,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1,2,3,3,4,4,4,4,4,4,"NO"
1,1,1,2,1,2,2,2,1,1,1,2,6,9,4,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,2,2,1,1,2,2,2,2,2,2,1,2,1,2,2,3,2,2,1,1,2,2,1,2,3,1,1,3,2,2,4,2,4,4,2,2,1,1,2,1,2,3,2,2,2,2,1,2,2,2,2,2,2,3,3,4,2,4,4,3,4,4,"NO"
2,1,4,4,1,2,1,1,1,1,1,2,7,9,5,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,1,1,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,2,2,2,1,1,2,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,2,2,2,3,4,4,2,4,4,4,"NO"
1,1,4,3,2,2,1,1,1,1,1,1,3,3,5,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,2,2,2,1,1,2,2,1,1,3,2,1,2,1,1,1,1,1,1,1,2,1,2,3,2,2,3,2,2,3,3,2,2,1,2,1,2,3,2,2,2,1,2,2,1,1,1,1,2,2,3,3,3,4,4,4,4,4,"NO"
1,1,4,4,2,2,1,1,1,2,2,2,3,5,5,2,2,2,2,2,2,2,1,1,1,2,2,2,1,1,1,1,2,2,1,2,4,4,2,2,2,2,1,2,4,3,1,3,2,1,1,1,1,1,1,3,1,1,4,3,2,3,4,4,4,2,4,2,1,2,2,1,2,2,1,2,1,1,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,"NO"
2,1,4,4,1,2,2,2,1,2,1,2,6,6,4,2,2,2,1,2,2,1,2,2,2,2,2,2,1,1,1,2,2,1,1,2,2,2,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,4,3,2,3,2,3,3,3,3,3,1,2,2,2,3,1,3,2,1,1,1,1,1,1,1,1,1,2,4,3,4,4,4,2,4,"NO"
2,1,5,4,1,1,1,1,1,1,1,1,7,7,5,2,2,1,1,1,1,2,2,2,2,2,1,2,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,2,1,1,1,2,3,2,3,3,2,2,3,2,4,2,1,1,3,1,1,4,1,2,1,2,1,2,1,1,2,1,1,1,4,4,4,4,4,4,4,4,"NO"
2,1,5,5,2,2,1,1,1,1,2,2,6,3,6,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,4,1,1,4,1,1,1,1,4,1,1,1,4,1,1,4,1,1,1,1,2,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,"NO"
1,1,3,4,1,2,1,2,1,1,2,1,6,3,5,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,2,2,3,2,1,1,1,1,1,1,2,1,1,2,1,2,1,2,1,1,2,1,2,3,3,2,3,2,2,3,3,4,2,2,3,1,1,2,1,3,3,2,1,2,1,1,1,1,1,1,4,4,4,4,4,4,4,4,"NO"
1,1,3,5,1,1,1,1,1,1,1,2,3,6,6,2,2,1,1,2,2,2,2,2,2,1,2,2,1,1,1,1,2,2,1,3,3,3,2,2,1,2,1,2,3,2,1,2,2,1,2,1,2,1,1,2,1,1,4,4,2,2,3,3,2,3,4,1,1,2,1,1,3,1,3,2,3,2,3,3,2,3,4,3,4,3,2,4,4,4,4,4,4,"NO"
2,1,5,5,1,1,1,1,1,2,1,1,8,8,6,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,2,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,4,3,1,4,1,1,2,1,4,2,1,1,4,1,1,4,1,4,1,1,1,1,1,1,1,1,2,1,4,4,4,4,4,4,4,4,"NO"
2,1,4,5,2,2,1,1,2,1,1,1,6,7,4,2,1,1,2,1,1,2,2,2,2,2,2,2,1,1,1,2,2,2,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,2,1,2,1,2,2,1,2,3,2,4,2,2,1,1,4,2,1,1,1,1,1,4,2,2,1,2,2,2,2,1,1,2,1,3,4,4,4,4,4,4,4,4,"NO"
2,1,5,5,1,1,1,1,1,1,1,1,6,6,5,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,2,2,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,2,1,2,1,2,1,1,2,1,2,3,2,3,2,2,1,1,4,2,1,1,4,1,2,4,1,3,1,2,1,1,2,1,1,1,2,2,4,4,4,4,4,4,4,4,"NO"
2,1,5,3,1,2,2,1,1,1,1,2,8,6,4,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,2,1,1,1,1,3,2,1,3,1,1,1,1,4,1,1,1,4,1,1,4,1,2,1,1,1,1,1,2,2,1,1,1,4,4,4,4,4,4,4,4,"NO"
2,2,1,4,1,2,1,1,1,1,2,1,1,1,4,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,2,1,2,2,2,1,1,2,1,2,2,1,4,1,1,1,1,4,2,1,1,4,1,1,4,1,1,2,1,1,1,1,1,1,2,1,1,4,4,4,4,4,4,4,4,"NO"
2,1,3,5,1,1,1,1,1,1,1,1,3,3,4,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,3,1,4,2,1,1,1,1,1,1,1,4,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,"NO"
2,1,4,5,2,1,1,1,1,1,1,1,3,3,6,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,2,1,1,2,1,4,4,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,1,1,2,4,4,3,4,3,3,4,2,3,2,1,2,1,1,3,1,1,3,2,2,1,1,1,1,1,1,1,3,4,4,4,4,4,2,4,"NO"
1,1,4,5,1,1,1,1,1,1,1,1,9,6,5,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,2,3,3,3,3,3,3,3,3,3,2,1,3,1,1,3,1,1,1,2,2,2,2,2,2,2,2,2,4,3,4,4,4,4,4,4,"NO"
2,1,3,5,2,1,1,1,1,1,1,1,3,3,5,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,1,1,2,2,2,1,3,1,1,1,1,1,2,2,1,1,1,2,2,4,1,1,4,4,1,3,3,2,2,1,4,1,1,4,1,1,4,1,2,1,3,2,3,2,3,3,3,3,3,4,4,4,4,4,4,4,4,"NO"
2,1,3,4,1,2,1,1,1,1,1,2,3,6,4,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,2,2,1,1,1,2,3,1,1,1,1,2,1,1,2,1,1,2,2,2,2,2,1,1,2,3,1,4,3,2,2,3,3,2,2,2,1,1,4,1,1,4,1,2,1,4,1,3,2,1,3,2,2,2,4,4,4,4,4,4,4,4,"NO"
1,1,3,5,1,1,1,1,2,2,1,1,5,3,6,1,2,2,1,1,1,2,1,2,2,2,2,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,4,1,2,4,2,2,1,2,4,3,2,1,4,1,1,4,1,1,2,1,2,2,2,1,2,2,1,2,4,3,4,4,4,4,4,4,"NO"
1,1,3,5,1,1,1,1,1,1,1,2,2,3,5,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,3,1,2,4,2,1,1,2,4,2,1,1,4,1,1,4,1,1,1,2,2,2,2,2,3,2,2,3,4,4,4,4,4,4,4,4,"NO"
2,1,5,4,2,2,1,1,1,2,2,1,6,7,5,2,2,2,2,2,1,2,2,2,2,1,2,1,1,1,1,2,2,4,1,4,4,3,1,2,1,3,3,1,2,3,2,4,2,2,2,2,2,1,1,4,1,3,3,3,2,2,2,4,4,3,1,2,2,1,1,1,2,2,3,4,3,2,4,2,1,2,2,3,3,4,4,4,4,4,4,4,4,"NO"
2,1,4,5,2,2,1,1,2,1,1,2,6,6,4,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,2,2,2,1,3,2,2,3,1,2,2,2,1,1,2,1,2,1,2,1,1,1,1,1,2,1,3,3,2,3,2,2,1,2,4,2,1,1,4,1,1,4,1,1,2,2,2,2,2,2,2,3,2,3,2,3,4,4,4,4,4,4,"NO"
1,1,3,5,2,2,1,1,1,2,1,1,7,5,4,2,2,2,1,2,2,1,2,2,2,1,2,2,1,1,1,1,2,2,2,3,2,2,1,2,2,2,2,1,2,3,1,3,2,2,2,2,2,1,1,2,2,1,3,2,2,1,2,1,2,3,3,1,1,3,1,2,3,1,2,1,2,1,1,1,1,1,1,2,2,2,3,4,4,4,4,4,4,"NO"
2,2,2,3,1,2,1,1,1,1,1,2,1,1,5,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,3,2,1,1,1,2,4,2,1,1,3,2,2,3,2,2,1,1,1,2,2,3,2,2,3,3,3,3,4,4,4,4,4,4,"NO"
2,1,3,5,1,2,1,1,1,1,1,1,3,3,4,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,3,1,4,2,1,4,1,1,1,1,4,1,1,1,4,1,1,4,1,1,1,2,1,1,1,2,2,1,1,1,1,2,4,4,4,4,4,4,"NO"
2,1,4,5,1,1,1,1,1,1,1,1,3,9,4,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,1,2,1,2,3,2,4,1,1,1,1,4,2,1,1,4,1,2,4,1,1,1,2,1,2,2,1,2,1,1,1,4,2,4,4,4,3,4,4,"NO"
