"","MSBG01","MSBG03","MSBG04","MSBG05","MSBG06A","MSBG06B","MSBG06C","MSBG06D","MSBG06E","MSBG06F","MSBG06G","MSBG06H","MSBG07A","MSBG07B","MSBG09","MSBG10A","MSBG10B","MSBG10C","MSBG10D","MSBG10E","MSBG10F","MSBG10G","MSBG10H","MSBG10I","MSBG10J","MSBG10K","MSBG10L","MSBG10M","MSBG12A","MSBG12B","MSBG13A","MSBM14","MSBM15","MSBM16A","MSBM17A","MSBM18A","MSBM18B","MSBM18C","MSBM18D","MSBM18F","MSBM18G","MSBM18H","MSBM18I","MSBM18J","MSBM18K","MSBM18L","MSBM18M","MSBM18N","MSBM18O","MSBM19A","MSBM19B","MSBM19C","MSBM19D","MSBM19E","MSBM19F","MSBM19G","MSBM20A","MSBM20B","MSBM20C","MSBM20D","MSBM20E","MSBM20F","MSBM20G","MSBM20H","MSBM20I","MSBM20J","MSBM20K","MSBM20L","MSBM21A","MSBM21B","MSBM21C","MSBM21E","MSBM21F","MSBM21G","MSBM21H","MSBM21I","MSBM22A","MSBM22B","MSBM22C","MSBM22D","MSBM22E","MSBM22F","MSBM22G","MSBM22H","MSBM22I","MSBM23A","MSBM23B","MSBM23C","MSBM23D","MSBM23E","MSBM23F","MSBM23G","MSBM23H","TOTWGT","AtRisk"
"827",2,1,4,3,1,2,1,1,1,1,1,2,7,7,5,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,350,120,1,2,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,4,2,3,2,3,2,2,2,3,2,2,3,2,3,1,3,3,2,1,1,1,2,2,2,2,2,3,4,4,4,4,4,4,4,185.564895,"0"
"828",1,1,5,4,1,2,2,1,1,1,1,2,7,7,6,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,350,100,1,2,1,1,1,3,3,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,4,4,1,4,4,4,4,1,2,2,2,1,2,3,2,3,2,2,1,3,3,2,3,2,2,3,3,3,3,3,4,3,3,4,142.824833,"0"
"829",2,1,5,5,1,2,1,1,1,1,1,1,5,3,6,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,355,300,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,4,2,4,2,3,3,3,3,3,1,1,4,1,4,1,2,1,2,1,1,1,1,1,1,1,1,2,3,3,4,3,4,3,3,142.824833,"0"
"830",1,1,4,4,1,2,1,1,2,1,1,1,6,7,6,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,350,300,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,3,1,1,2,2,4,2,1,1,4,1,4,1,1,1,2,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,142.824833,"0"
"831",2,2,4,4,1,2,1,1,1,1,1,2,6,6,6,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,355,240,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,3,2,1,3,1,1,2,2,4,2,1,1,3,1,4,1,1,1,1,1,1,1,1,1,1,1,2,3,4,4,3,4,4,4,4,142.824833,"0"
"832",2,1,4,5,1,2,1,1,1,1,1,1,7,7,5,2,2,1,2,2,2,1,2,2,2,2,2,2,1,1,1,350,300,2,2,1,1,1,2,3,1,2,1,1,1,2,3,1,2,2,2,2,2,2,1,1,2,2,2,4,4,2,3,3,4,4,2,1,1,1,3,1,3,1,3,1,2,1,3,2,1,1,1,1,1,3,4,4,4,4,4,4,4,142.824833,"0"
"833",1,2,5,3,2,2,1,1,1,1,1,2,3,3,5,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,1,375,300,2,2,1,1,2,1,1,2,1,2,2,1,3,2,1,1,1,2,2,2,2,1,1,1,1,2,3,2,1,1,1,3,3,2,3,1,1,3,1,3,1,1,1,2,1,1,1,1,1,1,2,2,3,3,3,4,4,3,4,4,142.824833,"0"
"834",2,1,5,4,2,2,1,1,1,1,1,2,6,6,4,2,2,2,2,2,1,2,2,2,2,2,1,2,1,1,1,75,120,1,2,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,2,2,1,3,2,3,3,3,4,4,1,3,1,1,4,1,3,1,2,1,1,1,1,1,1,1,1,1,1,4,3,4,4,4,4,4,4,142.824833,"0"
"835",2,1,5,5,2,2,1,1,1,1,1,1,5,7,5,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,350,225,2,2,2,1,2,1,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,1,1,2,1,4,4,2,3,3,4,3,2,3,1,1,3,1,3,1,3,1,2,1,2,1,1,2,2,1,2,4,4,4,4,4,4,4,4,142.824833,"0"
"836",1,1,5,5,1,2,1,1,1,1,2,2,7,6,4,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,750,225,2,2,1,1,1,2,1,1,1,1,1,1,3,3,1,1,2,2,2,2,2,1,1,1,1,2,3,1,4,1,1,1,1,4,1,1,1,4,1,4,1,1,1,4,1,4,2,1,2,1,2,2,4,4,4,4,4,4,4,4,142.824833,"0"
